scenario,flag,severity,explanation
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_30,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_30,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_30,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_30,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_30,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_40,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_40,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_40,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_40,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_40,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_40,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_40,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_50,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_50,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_50,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_50,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_50,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_50,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_50,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_60,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_60,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_60,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_60,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_60,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_60,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_60,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_70,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_70,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_70,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_70,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_70,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_70,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_70,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_80,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_80,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_80,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_80,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_80,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_80,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_80,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_90,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_90,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_90,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_90,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_90,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_90,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__base_hit_everyone_happy__lp_distribution_90,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_20,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_20,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_20,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_20,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_20,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_30,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_30,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_30,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_30,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_30,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_40,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_40,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_40,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_40,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_40,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_50,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_50,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_50,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_50,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_50,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_60,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_60,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_60,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_60,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_60,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_70,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_70,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_70,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_70,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_70,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_80,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_80,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_80,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_80,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_80,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_90,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_90,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_90,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_90,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__fast_success_crypto_bull__lp_distribution_90,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_20,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 13.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_20,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_20,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_20,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_20,HURDLE_COMPLETION_TRIGGER_EXECUTED,info,Active hurdle completion trigger monetized permitted sources to extinguish LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_20,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__slow_grind__lp_distribution_20,LP_REDEEMED_VIA_HF_LIQUIDATION,medium,LP hurdle completion used partial hedge fund liquidation.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_20,LP_REDEEMED_VIA_REFI,medium,LP hurdle completion used refinance proceeds.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_30,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 13.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_30,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_30,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_30,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_30,HURDLE_COMPLETION_TRIGGER_EXECUTED,info,Active hurdle completion trigger monetized permitted sources to extinguish LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_30,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__slow_grind__lp_distribution_30,LP_REDEEMED_VIA_HF_LIQUIDATION,medium,LP hurdle completion used partial hedge fund liquidation.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_30,LP_REDEEMED_VIA_REFI,medium,LP hurdle completion used refinance proceeds.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_40,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 13.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_40,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_40,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_40,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_40,HURDLE_COMPLETION_TRIGGER_EXECUTED,info,Active hurdle completion trigger monetized permitted sources to extinguish LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_40,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__slow_grind__lp_distribution_40,LP_REDEEMED_VIA_HF_LIQUIDATION,medium,LP hurdle completion used partial hedge fund liquidation.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_40,LP_REDEEMED_VIA_REFI,medium,LP hurdle completion used refinance proceeds.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_50,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 14.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_50,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_50,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_50,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_50,HURDLE_COMPLETION_TRIGGER_EXECUTED,info,Active hurdle completion trigger monetized permitted sources to extinguish LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_50,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__slow_grind__lp_distribution_50,LP_REDEEMED_VIA_HF_LIQUIDATION,medium,LP hurdle completion used partial hedge fund liquidation.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_50,LP_REDEEMED_VIA_REFI,medium,LP hurdle completion used refinance proceeds.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_60,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 14.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_60,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_60,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_60,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_60,HURDLE_COMPLETION_TRIGGER_EXECUTED,info,Active hurdle completion trigger monetized permitted sources to extinguish LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_60,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__slow_grind__lp_distribution_60,LP_REDEEMED_VIA_HF_LIQUIDATION,medium,LP hurdle completion used partial hedge fund liquidation.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_60,LP_REDEEMED_VIA_REFI,medium,LP hurdle completion used refinance proceeds.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_70,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 14.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_70,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_70,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_70,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_70,HURDLE_COMPLETION_TRIGGER_EXECUTED,info,Active hurdle completion trigger monetized permitted sources to extinguish LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_70,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__slow_grind__lp_distribution_70,LP_REDEEMED_VIA_HF_LIQUIDATION,medium,LP hurdle completion used partial hedge fund liquidation.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_70,LP_REDEEMED_VIA_REFI,medium,LP hurdle completion used refinance proceeds.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_80,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 14.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_80,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_80,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_80,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_80,HURDLE_COMPLETION_TRIGGER_EXECUTED,info,Active hurdle completion trigger monetized permitted sources to extinguish LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_80,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__slow_grind__lp_distribution_80,LP_REDEEMED_VIA_HF_LIQUIDATION,medium,LP hurdle completion used partial hedge fund liquidation.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_80,LP_REDEEMED_VIA_REFI,medium,LP hurdle completion used refinance proceeds.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_90,LP_HURDLE_ACHIEVED,info,LP reached 2.00x in year 15.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_90,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_90,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_90,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_90,HURDLE_COMPLETION_TRIGGER_EXECUTED,info,Active hurdle completion trigger monetized permitted sources to extinguish LPs.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_90,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__slow_grind__lp_distribution_90,LP_REDEEMED_VIA_HF_LIQUIDATION,medium,LP hurdle completion used partial hedge fund liquidation.
lp_distribution_strategy_sweep__slow_grind__lp_distribution_90,LP_REDEEMED_VIA_REFI,medium,LP hurdle completion used refinance proceeds.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_20,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_20,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_20,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_20,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_20,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_20,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_20,LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV,medium,Fund NAV is positive but LP cash recovery remains below 1.0x.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_30,LP_HURDLE_NOT_ACHIEVED,high,LP did not reach the target cash MOIC within the model horizon.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_30,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,high,Economic hurdle passed before available liquidity could redeem LPs.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_30,SLOW_TIME_HORIZON_DRIFT,medium,LP outcome takes a long time or does not arrive within the horizon.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_30,GP_SURVIVABILITY_RISK,medium,GP fee income in the early years is below the configured threshold.
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_30,HURDLE_TRIGGER_ATTEMPTED_BUT_INSUFFICIENT,high,"Active hurdle completion trigger was eligible, but permitted funding sources were insufficient."
lp_distribution_strategy_sweep__hedge_fund_failure_re_survival__lp_distribution_30,LP_STILL_BELOW_1X_CASH_MOIC_AT_END,medium,LP cash distributions remain below 1.0x at model end.
